2025-10-09 07:48:18,447 - INFO - Fetched switches: 48 switches
2025-10-09 07:48:18,450 - INFO - Fetched links: 130 links
2025-10-09 07:48:18,454 - INFO - Fetched hosts: 48 hosts
2025-10-09 07:48:18,454 - ERROR - Failed to generate initial network features: invalid literal for int() with base 10: '000000000000002e'
2025-10-09 07:49:45,889 - INFO - Fetched switches: 48 switches
2025-10-09 07:49:45,891 - INFO - Fetched links: 112 links
2025-10-09 07:49:45,892 - INFO - Fetched hosts: 48 hosts
2025-10-09 07:49:47,608 - ERROR - Failed to generate initial network features: invalid literal for int() with base 10: '000000000000001a'
2025-10-09 07:52:16,861 - INFO - Fetched switches: 48 switches
2025-10-09 07:52:16,863 - INFO - Fetched links: 112 links
2025-10-09 07:52:16,864 - INFO - Fetched hosts: 48 hosts
2025-10-09 07:52:16,867 - WARNING - Failed to fetch port stats for switch 26, using defaults
2025-10-09 07:52:16,879 - WARNING - Failed to fetch port stats for switch 31, using defaults
2025-10-09 07:52:16,922 - WARNING - Failed to fetch port stats for switch 11, using defaults
2025-10-09 07:52:16,936 - WARNING - Failed to fetch port stats for switch 20, using defaults
2025-10-09 07:52:16,952 - WARNING - Failed to fetch port stats for switch 37, using defaults
2025-10-09 07:52:16,968 - WARNING - Failed to fetch port stats for switch 36, using defaults
2025-10-09 07:52:16,984 - WARNING - Failed to fetch port stats for switch 23, using defaults
2025-10-09 07:52:17,000 - WARNING - Failed to fetch port stats for switch 2, using defaults
2025-10-09 07:52:17,046 - WARNING - Failed to fetch port stats for switch 17, using defaults
2025-10-09 07:52:17,118 - WARNING - Failed to fetch port stats for switch 1, using defaults
2025-10-09 07:52:17,146 - WARNING - Failed to fetch port stats for switch 39, using defaults
2025-10-09 07:52:17,168 - WARNING - Failed to fetch port stats for switch 18, using defaults
2025-10-09 07:52:17,234 - WARNING - Failed to fetch port stats for switch 41, using defaults
2025-10-09 07:52:17,265 - WARNING - Failed to fetch port stats for switch 12, using defaults
2025-10-09 07:52:17,311 - WARNING - Failed to fetch port stats for switch 46, using defaults
2025-10-09 07:52:17,382 - WARNING - Failed to fetch port stats for switch 4, using defaults
2025-10-09 07:52:17,403 - WARNING - Failed to fetch port stats for switch 28, using defaults
2025-10-09 07:52:17,421 - WARNING - Failed to fetch port stats for switch 38, using defaults
2025-10-09 07:52:17,442 - WARNING - Failed to fetch port stats for switch 45, using defaults
2025-10-09 07:52:17,482 - WARNING - Failed to fetch port stats for switch 27, using defaults
2025-10-09 07:52:17,514 - WARNING - Failed to fetch port stats for switch 19, using defaults
2025-10-09 07:52:17,546 - WARNING - Failed to fetch port stats for switch 5, using defaults
2025-10-09 07:52:17,560 - WARNING - Failed to fetch port stats for switch 47, using defaults
2025-10-09 07:52:17,633 - WARNING - Failed to fetch port stats for switch 24, using defaults
2025-10-09 07:52:17,649 - WARNING - Failed to fetch port stats for switch 25, using defaults
2025-10-09 07:52:17,730 - WARNING - Failed to fetch port stats for switch 43, using defaults
2025-10-09 07:52:17,754 - WARNING - Failed to fetch port stats for switch 40, using defaults
2025-10-09 07:52:17,787 - WARNING - Failed to fetch port stats for switch 15, using defaults
2025-10-09 07:52:17,805 - WARNING - Failed to fetch port stats for switch 34, using defaults
2025-10-09 07:52:17,906 - WARNING - Failed to fetch port stats for switch 6, using defaults
2025-10-09 07:52:17,920 - WARNING - Failed to fetch port stats for switch 44, using defaults
2025-10-09 07:52:17,941 - WARNING - Failed to fetch port stats for switch 30, using defaults
2025-10-09 07:52:17,965 - WARNING - Failed to fetch port stats for switch 8, using defaults
2025-10-09 07:52:17,995 - WARNING - Failed to fetch port stats for switch 21, using defaults
2025-10-09 07:52:18,036 - WARNING - Failed to fetch port stats for switch 13, using defaults
2025-10-09 07:52:18,064 - WARNING - Failed to fetch port stats for switch 32, using defaults
2025-10-09 07:52:18,077 - WARNING - Failed to fetch port stats for switch 29, using defaults
2025-10-09 07:52:18,113 - WARNING - Failed to fetch port stats for switch 33, using defaults
2025-10-09 07:52:18,156 - WARNING - Failed to fetch port stats for switch 14, using defaults
2025-10-09 07:52:18,195 - WARNING - Failed to fetch port stats for switch 7, using defaults
2025-10-09 07:52:18,206 - WARNING - Failed to fetch port stats for switch 244866307128911, using defaults
2025-10-09 07:52:18,218 - WARNING - Failed to fetch port stats for switch 35, using defaults
2025-10-09 07:52:18,260 - WARNING - Failed to fetch port stats for switch 22, using defaults
2025-10-09 07:52:18,277 - WARNING - Failed to fetch port stats for switch 42, using defaults
2025-10-09 07:52:18,297 - WARNING - Failed to fetch port stats for switch 9, using defaults
2025-10-09 07:52:18,307 - WARNING - Failed to fetch port stats for switch 3, using defaults
2025-10-09 07:52:18,319 - WARNING - Failed to fetch port stats for switch 10, using defaults
2025-10-09 07:52:18,336 - WARNING - Failed to fetch port stats for switch 16, using defaults
2025-10-09 07:52:18,607 - ERROR - Failed to generate initial network features: invalid literal for int() with base 10: '000000000000001a'
2025-10-09 07:53:57,311 - INFO - Fetched switches: 48 switches
2025-10-09 07:53:57,312 - INFO - Fetched links: 112 links
2025-10-09 07:53:57,313 - INFO - Fetched hosts: 48 hosts
2025-10-09 07:53:57,316 - WARNING - Failed to fetch port stats for switch 26, using defaults
2025-10-09 07:53:57,327 - WARNING - Failed to fetch port stats for switch 31, using defaults
2025-10-09 07:53:57,378 - WARNING - Failed to fetch port stats for switch 11, using defaults
2025-10-09 07:53:57,397 - WARNING - Failed to fetch port stats for switch 20, using defaults
2025-10-09 07:53:57,415 - WARNING - Failed to fetch port stats for switch 37, using defaults
2025-10-09 07:53:57,430 - WARNING - Failed to fetch port stats for switch 36, using defaults
2025-10-09 07:53:57,452 - WARNING - Failed to fetch port stats for switch 23, using defaults
2025-10-09 07:53:57,471 - WARNING - Failed to fetch port stats for switch 2, using defaults
2025-10-09 07:53:57,524 - WARNING - Failed to fetch port stats for switch 17, using defaults
2025-10-09 07:53:57,593 - WARNING - Failed to fetch port stats for switch 1, using defaults
2025-10-09 07:53:57,617 - WARNING - Failed to fetch port stats for switch 39, using defaults
